Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1,526301100,20,1,141.0,31770,1,0,1,1,1,1,1,1,1,1,1,1,6,5,1960,1960,1,1,1,1,1,112.0,3,3,1,3,4,4,1,639.0,1,0.0,441.0,1080.0,1,2,1,1,1656,0,0,1656,1.0,0.0,1,0,3,1,3,7,1,2,4,1,1960.0,3,2.0,528.0,3,3,1,210,62,0,0,0,0,0,0,0,0,5,2010,1,1,215000
2,526350040,20,2,80.0,11622,1,0,4,1,1,2,1,1,2,1,1,1,5,6,1961,1961,2,1,2,2,0,0.0,3,3,1,3,3,1,2,468.0,2,144.0,270.0,882.0,1,3,1,1,896,0,0,896,0.0,0.0,1,0,2,1,3,5,1,0,0,1,1961.0,1,1.0,730.0,3,3,2,140,0,0,0,120,0,0,2,0,0,6,2010,1,1,105000
3,526351010,20,1,81.0,14267,1,0,1,1,1,1,1,1,1,1,1,1,6,6,1958,1958,1,1,3,3,3,108.0,3,3,1,3,3,1,3,923.0,1,0.0,406.0,1329.0,1,3,1,1,1329,0,0,1329,0.0,0.0,1,1,3,1,4,6,1,0,0,1,1958.0,1,1.0,312.0,3,3,2,393,36,0,0,0,0,0,0,2,12500,6,2010,1,1,172000
4,526353030,20,1,93.0,11160,1,0,4,1,1,1,1,1,1,1,1,1,7,5,1968,1968,1,1,1,4,0,0.0,4,3,1,3,3,1,3,1065.0,1,0.0,1045.0,2110.0,1,5,1,1,2110,0,0,2110,1.0,0.0,2,1,3,1,5,8,1,2,3,1,1968.0,3,2.0,522.0,3,3,2,0,0,0,0,0,0,0,0,0,0,4,2010,1,1,244000
5,527105010,60,1,74.0,13830,1,0,1,1,1,2,1,2,1,1,1,2,5,5,1997,1998,2,1,2,2,0,0.0,3,3,2,4,3,1,4,791.0,1,0.0,137.0,928.0,1,4,1,1,928,701,0,1629,0.0,0.0,2,1,3,1,3,6,1,1,3,1,1997.0,3,2.0,482.0,3,3,2,212,34,0,0,0,0,0,2,0,0,3,2010,1,1,189900
6,527105030,60,1,78.0,9978,1,0,1,1,1,2,1,2,1,1,1,2,6,6,1998,1998,2,1,2,2,3,20.0,3,3,2,3,3,1,4,602.0,1,0.0,324.0,926.0,1,5,1,1,926,678,0,1604,0.0,0.0,2,1,3,1,4,7,1,1,4,1,1998.0,3,2.0,470.0,3,3,2,360,36,0,0,0,0,0,0,0,0,6,2010,1,1,195500
7,527127150,120,1,41.0,4920,1,0,4,1,1,2,1,3,1,1,2,1,8,5,2001,2001,2,1,4,5,0,0.0,4,3,2,4,3,2,4,616.0,1,0.0,722.0,1338.0,1,5,1,1,1338,0,0,1338,1.0,0.0,2,0,2,1,4,6,1,0,0,1,2001.0,3,2.0,582.0,3,3,2,0,0,170,0,0,0,0,0,0,0,4,2010,1,1,213500
8,527145080,120,1,43.0,5005,1,0,1,2,1,2,1,3,1,1,2,1,8,5,1992,1992,2,1,5,6,0,0.0,4,3,2,4,3,1,3,263.0,1,0.0,1017.0,1280.0,1,5,1,1,1280,0,0,1280,0.0,0.0,2,0,2,1,4,5,1,0,0,1,1992.0,2,2.0,506.0,3,3,2,0,82,0,0,144,0,0,0,0,0,1,2010,1,1,191500
9,527146030,120,1,39.0,5389,1,0,1,1,1,2,1,3,1,1,2,1,8,5,1995,1996,2,1,4,5,0,0.0,4,3,2,4,3,1,4,1180.0,1,0.0,415.0,1595.0,1,5,1,1,1616,0,0,1616,1.0,0.0,2,0,2,1,4,5,1,1,3,1,1995.0,2,2.0,608.0,3,3,2,237,152,0,0,0,0,0,0,0,0,3,2010,1,1,236500
10,527162130,60,1,60.0,7500,1,0,4,1,1,2,1,2,1,1,1,2,7,5,1999,1999,2,1,2,2,0,0.0,3,3,2,3,3,1,5,0.0,1,0.0,994.0,994.0,1,4,1,1,1028,776,0,1804,0.0,0.0,2,1,3,1,4,7,1,1,3,1,1999.0,3,2.0,442.0,3,3,2,140,60,0,0,0,0,0,0,0,0,6,2010,1,1,189000
